model,dependent_variable,r_squared,adj_r_squared,observations,aic,bic
Base OLS,avg_allowed_amt,0.7456947100261575,0.7264499853794883,1792,21015.433513732565,21712.801638111494
Interaction OLS,avg_allowed_amt,0.7458346902410757,0.7264362561428885,1792,21016.446850780558,21719.30606275302
