npi_id,hcpcs,place_of_service,provider_type,state,zip5,ruca,tot_srvcs,tot_benes,avg_allowed_amt,avg_submitted_charge,avg_standardized_amt,avg_payment_amt,hcpcs_allowed_zscore,hcpcs_payment_zscore,hcpcs_charge_zscore,hcpcs_cost_outlier_score
1013688977,G0008,O,Pharmacy,IN,46394,1.0,75.0,75.0,28.63,6547.4773333,19.93,28.63,-0.11243890551116903,-0.11243890551116903,178.38442490584777,178.6093027168701
1568811099,91320,O,Clinical Laboratory,TN,38501,4.0,77.0,77.0,128.48,20690.987013,128.48,128.48,0.28616445540483587,0.28616445540483587,141.94275760219335,142.515086513003
1861768558,91322,O,Mass Immunizer Roster Biller,NY,11234,1.0,15.0,15.0,143.0,11629.763333,143.0,143.0,0.22895306704563956,0.22895306704563956,130.36617438844797,130.82408052253925
1659807717,36556,F,Ambulatory Surgical Center,CA,91335,1.0,78.0,75.0,866.91871795,2000.0,597.31846154,690.71333333,61.42409203483847,60.72287442067928,2.9038222510748053,125.05078870659256
1083711824,G0009,O,Mass Immunizer Roster Biller,VA,24477,2.0,16.0,16.0,30.15,5804.0975,19.93,30.15,0.44185830521786235,0.44185830521786235,109.91145686574501,110.79517347618074
1841398922,98940,O,Chiropractic,CA,93612,1.0,101.0,25.0,28.505544554,6894.4554455,19.148613861,19.932871287,0.7426029768448305,0.5150142605383699,108.43000739909466,109.68762463647786
1275538878,85652,O,Family Practice,MD,21014,1.1,12.0,12.0,10.0925,15.0,9.6791666667,10.0925,53.66793580705511,53.66793580705511,-0.07081773046416945,107.40668934457439
1871749952,11042,F,Ambulatory Surgical Center,CA,90211,1.0,118.0,29.0,195.47567797,39788.135593,136.56830508,155.52254237,2.9896950002479463,3.1468108405931003,95.2702900914747,101.40679593231576
1841302841,0134A,O,Mass Immunizer Roster Biller,NJ,07403,1.0,19.0,19.0,45.29,5000.45,40.69,45.29,1.6025139651663343,1.6025139651663343,93.03355429122753,96.2385822215602
1184024788,90674,O,Pharmacy,FL,34285,1.0,21.0,21.0,33.49,10407.398571,33.49,33.49,0.5610037325439581,0.5610037325439581,83.85879127683101,84.98079874191893
1942779665,K1034,O,Mass Immunizer Roster Biller,NY,11209,1.0,392.0,21.0,11.76,1000.255102,11.76,11.76,0.772699547817302,0.772699547817302,80.6096490414543,82.15504813708891
1972973428,K1034,O,Mass Immunizer Roster Biller,NY,11570,1.0,368.0,19.0,11.76,1000.0815217,11.76,11.76,0.772699547817302,0.772699547817302,80.59548851968972,82.14088761532433
1730514027,64415,F,Ambulatory Surgical Center,CA,93726,1.0,149.0,104.0,461.07402685,504.02684564,338.54436242,359.10503356,39.659524481688536,39.38342345953846,-0.8271219284196378,79.87006986964664
1215012778,98941,O,Chiropractic,CA,94066,1.0,267.0,28.0,41.426179775,1940.5131086,27.274082397,28.86082397,1.0900038305966793,0.49510852223615304,74.16481795891193,75.74993031174476
1346217163,95886,F,Neurology,TX,75214,1.0,19.0,19.0,43.963684211,38000.0,35.34,35.031052632,-1.6539773213050863,-1.585472335281507,72.05552673119945,75.29497638778605
1801828074,J1100,O,Interventional Pain Management,WI,54952,1.0,238.0,33.0,0.1221848739,1148.0,0.0971428571,0.0971428571,0.03970235426459958,0.8035423443067633,73.82044953039183,74.6636942289632
1134111966,92134,O,Optometry,CT,06475,1.0,19.0,15.0,43.066315789,4924.9473684,28.403157895,30.524210526,0.908013506444989,0.7452066770419388,72.09689515350922,73.75011533699615
1649226051,G0101,O,Physician Assistant,IL,62801,4.0,17.0,17.0,31.97,4275.0,33.03,31.97,-1.066927697403386,-1.066927697403386,69.91897518644465,72.05283058125143
1770511453,82607,O,Internal Medicine,WI,53209,1.0,140.0,129.0,4.919,145.0,14.78,4.919,-33.146412590449565,-33.14643459879098,3.062100278043392,69.35494746728394
1770511453,G0103,O,Internal Medicine,WI,53209,1.0,22.0,22.0,7.4495454545,225.0,18.92,7.4495454545,-32.06371061366985,-32.06371061366985,5.1484002101488135,69.2758214374885
1780660472,77065,O,Diagnostic Radiology,CA,90033,1.0,15.0,12.0,144.238,13060.0,90.200666667,104.06066667,2.0496979092751393,2.09751294847046,64.83518379869646,68.98239465644207
1558857177,92928,F,Ambulatory Surgical Center,TX,79707,1.0,12.0,11.0,5738.22,24150.0,4969.74,4571.92,27.05756535484952,27.014399821093594,14.66622696739542,68.73819214333854
1215948898,G0009,O,Mass Immunizer Roster Biller,TN,38555,4.0,18.0,18.0,28.44,3528.97,19.93,28.44,0.1857479983354659,0.1857479983354659,66.49653589633978,66.86803189301071
1316251432,90694,O,Pharmacy,AR,71953,8.0,107.0,107.0,75.706074766,3363.2943925,75.706074766,75.706074766,0.3851155935138846,0.38511578585096484,65.58318825201798,66.35341963138282
1093088999,20550,F,Ambulatory Surgical Center,VA,23225,1.0,12.0,11.0,14.2,12161.5,11.68,11.31,-4.098488447081583,-3.580096421948613,57.69231901444232,65.37090388347252
