variable,coefficient,p_value
C(provider_type)[T.Portable X-Ray Supplier],-62.63936271970292,0.07225093680095672
C(provider_type)[T.Preventive Medicine],-12.711216149716588,0.7244045423727656
C(provider_type)[T.Psychiatry],1.8268293091051282,0.9519457007596515
"C(provider_type)[T.Psychologist, Clinical]",9.64817050509945,0.7524217695799862
C(provider_type)[T.Public Health or Welfare Agency],-19.032559853046777,0.6065107125465221
C(provider_type)[T.Pulmonary Disease],-12.220857730163686,0.6900410641838213
C(provider_type)[T.Radiation Oncology],97.79277071586631,0.001793074652881674
C(provider_type)[T.Radiation Therapy Center],227.89177845250077,5.143310286051117e-07
C(provider_type)[T.Registered Dietitian or Nutrition Professional],-59.323911639819784,0.08226942488770324
C(provider_type)[T.Rheumatology],-23.144028999165705,0.4744978792476229
C(provider_type)[T.Sleep Medicine],5.541363682989743,0.8731873312508955
C(provider_type)[T.Slide Preparation Facility],-75.36477659488213,0.4139558823762509
C(provider_type)[T.Speech Language Pathologist],9.220825576896887,0.7905244335356818
C(provider_type)[T.Sports Medicine],71.79490538834496,0.030864577543739204
C(provider_type)[T.Surgical Oncology],87.48824604309397,0.01530030526984282
C(provider_type)[T.Thoracic Surgery],252.35373969877134,1.1152766538919675e-13
C(provider_type)[T.Undefined Physician type],42.91627167178753,0.2451148217414294
C(provider_type)[T.Undersea and Hyperbaric Medicine],-18.325540970072307,0.6398488464868809
C(provider_type)[T.Unknown Supplier/Provider Specialty],-19.50004462321145,0.7198804021527359
C(provider_type)[T.Urology],31.086644891215084,0.3077947800711953
C(provider_type)[T.Vascular Surgery],106.17437971729672,0.0010180929716963225
C(place_of_service)[T.O],-30.83145270421281,7.175913145074126e-13
C(ruca)[T.1.1],7.620862763905923,0.40952974341649073
C(ruca)[T.10.0],-25.318479192692664,0.009141360304708936
C(ruca)[T.10.1],-14.64647025201686,0.39308715842416553
C(ruca)[T.10.2],-14.037792896047478,0.4633728329787874
C(ruca)[T.10.3],-12.063522583113475,0.5847408104407731
C(ruca)[T.2.0],-1.3992591845707256,0.8773138207583965
C(ruca)[T.2.1],-3.712339264849459,0.7770950427616139
C(ruca)[T.3.0],-32.362473067638696,0.007059178265281194
C(ruca)[T.4.0],-18.057885378037515,0.04161703282356584
C(ruca)[T.4.1],2.06384604468926,0.837101865656245
C(ruca)[T.5.0],-10.8417181878434,0.26907554207655093
C(ruca)[T.5.1],-12.153727478571557,0.5704501195471416
C(ruca)[T.6.0],-8.744473826944205,0.5670439585699418
C(ruca)[T.7.0],-14.741994343440746,0.11551566780466496
C(ruca)[T.7.1],-32.93974545629905,0.0040463953860698735
C(ruca)[T.7.2],7.679587369888395,0.521809665069733
C(ruca)[T.8.0],-2.1381289480085464,0.8669706449080479
C(ruca)[T.8.1],-25.083679378119168,0.4729932790741693
C(ruca)[T.8.2],-8.605284854795789,0.657831195291025
C(ruca)[T.9.0],1.7513873368811197,0.8906535184598849
C(ruca)[T.99.0],-0.8231401194292403,0.939117601239707
avg_services,0.001616929691924149,0.5609446917946375
avg_beneficiaries,0.03446051600256383,0.2106874524672968
avg_services:avg_beneficiaries,-1.163569646701884e-06,0.3385506955021038
