npi_id,total_services,total_beneficiaries,avg_allowed_amt,avg_payment_amt,avg_submitted_charge,avg_standardized_amt,provider_type,state,zip5,ruca,unique_hcpcs,services_per_beneficiary,charge_to_allowed_ratio,payment_to_allowed_ratio,avg_allowed_amt_z,avg_payment_amt_z,avg_submitted_charge_z,services_per_beneficiary_z,charge_to_allowed_ratio_z,anomaly_score,max_abs_zscore,is_high_risk_outlier
1366510166,13.0,13.0,0.01,0.01,106.38461538,0.01,Mass Immunizer Roster Biller,IL,62906,7.0,1,1.0,10638.461538,1.0,-0.6097662459330907,-0.5911911280639164,-0.3187480571611444,-0.012902309658480408,1000.8501287265863,1002.3827364674029,1000.8501287265863,True
1043382302,3428505.0,25.0,24.6359242795,19.706704672100003,58.8195772206,20.6144522541,Pharmacy,PA,15146,1.0,2,137140.2,2.3875530933314666,0.799917407137767,-0.4669459088196586,-0.4482346677062206,-0.3658147949982715,656.5021371503652,-0.12393927898220217,657.9070718008716,656.5021371503652,True
1013998921,5400603.0,43.0,24.7756120444,19.73409549665,53.74717174225,20.473763315750002,Pharmacy,CA,92374,1.0,2,125595.41860465116,2.1693579817899358,0.7965129362408818,-0.4661357766415845,-0.4480358681918281,-0.3708340609989218,601.2347692983959,-0.1444738906000407,602.6642488948282,601.2347692983959,True
1417938820,967300.0,11.0,1.4513484441,1.1560901582,3.8655805231,1.1560901685,Pharmacy,FL,33614,1.0,1,87936.36363636363,2.6634407049625475,0.7965627846984096,-0.6014070116421103,-0.5828729349958576,-0.4201930832484709,420.95272041279287,-0.09797515487789558,422.6551685975572,420.95272041279287,True
1326571845,11.0,11.0,30946.98,24656.94,40129.0,19377.53,Ambulatory Surgical Center,CA,94558,1.0,1,1.0,1.2967016490785208,0.7967478571414722,178.87006313527746,178.36602505441684,39.284582850538534,-0.012902309658480408,-0.22660065660077863,396.76017400649215,178.87006313527746,True
1619933264,30.0,30.0,22515.565000000002,17939.23,72474.846741,16724.995,Ambulatory Surgical Center,OR,97302,1.0,2,1.0,3.218877551640387,0.7967479385927023,129.97128804866384,129.60964375629038,71.29156839266354,-0.012902309658480408,-0.045702306764176755,330.9311048140404,129.97128804866384,True
1447661145,38.0,38.0,19087.6618,15206.968799999999,99999.99,16723.9238,Ambulatory Surgical Center,OK,74133,1.0,2,1.0,5.2389858458200464,0.7966910226793728,110.09084477840813,109.77920021626313,98.52835305284138,-0.012902309658480408,0.14441258148371156,318.5557129386549,110.09084477840813,True
1023678240,790695.0,12.0,1.0419762487,0.8295845807,1.0589064431,0.8295845933,Pharmacy,WA,98101,1.0,1,65891.25,1.0162481576918116,0.7961645783529269,-0.6037812037450465,-0.5852426756414876,-0.42297035408077677,315.41798892188456,-0.2529944812919278,317.2829776366438,315.41798892188456,True
1114264488,12.0,12.0,19018.288333,15148.873333,83651.6425,15153.423333,Ambulatory Surgical Center,TX,77375,1.0,1,1.0,4.398484292345596,0.7965424157921772,109.6885069075037,109.35754987101978,82.35127392858784,-0.012902309658480408,0.06531194149754625,301.4755449582674,109.6885069075037,True
1982246575,24.0,24.0,19462.45,15506.665,34483.3741255,13041.215,Ambulatory Surgical Center,CA,94010,1.0,2,1.0,1.771789991779041,0.7967478400715223,112.2644637850537,111.95436142459153,33.69810161885933,-0.012902309658480408,-0.18188950550030644,258.1117186436633,112.2644637850537,True
1306434998,13.0,13.0,15664.41,12480.59,68000.0,12466.26,Ambulatory Surgical Center,PA,19004,1.0,1,1.0,4.341050827959687,0.7967481698959616,90.23737773485193,89.99145047179242,66.86360099118365,-0.012902309658480408,0.05990680718129406,247.16523831466776,90.23737773485193,True
1114399656,71.0,37.0,16703.4664705,13303.1588235,54750.0,11609.1938235,Ambulatory Surgical Center,CA,91942,1.0,2,1.9189189189189189,3.277762738452764,0.796431019093834,96.26348232741084,95.96156219178589,53.75241049340647,-0.00850324585823499,-0.04016054905616379,246.0261188075176,96.26348232741084,True
1215429030,50.0,38.0,17058.554933333333,13589.386471666667,46209.80034166667,12431.807948666667,Ambulatory Surgical Center,NV,89119,1.0,3,1.3157894736842106,2.7088930171552947,0.7966317501555935,98.32285087704794,98.03897017040956,45.30167957948497,-0.01139055708316387,-0.0936975816022305,241.7685887656279,98.32285087704794,True
1336510486,166.0,166.0,16724.5265458525,13320.30398248,35971.875,9855.77399758,Ambulatory Surgical Center,CA,95825,1.0,8,1.0,2.1508456398677924,0.7964532775239184,96.38562219218669,96.08599982137184,35.17100867709914,-0.012902309658480408,-0.14621610997801926,227.80174911029417,96.38562219218669,True
1417915653,14135759.0,305.0,15.326237789533334,12.210033152944444,35.49556451466666,12.295509856488888,Pharmacy,PA,15086,1.0,9,46346.75081967213,2.3159998560708392,0.7966751736869813,-0.5209383010574699,-0.5026446638291187,-0.3888944609424276,221.85424018629797,-0.1306732425745367,223.39739085470154,221.85424018629797,True
1538618368,15.0,15.0,11152.5,8885.73,92625.0,6053.77,Ambulatory Surgical Center,CA,95122,1.0,1,1.0,8.305312710154674,0.796747814391392,64.07013625746731,63.900362158456055,91.23062484082615,-0.012902309658480408,0.432988392406366,219.64701395881437,91.23062484082615,True
