variable,coefficient,p_value
C(provider_type)[T.Portable X-Ray Supplier],-62.41378768019149,0.07326870702628832
C(provider_type)[T.Preventive Medicine],-12.794285841491853,0.7226701852710298
C(provider_type)[T.Psychiatry],1.7843135355499005,0.9530615291919947
"C(provider_type)[T.Psychologist, Clinical]",9.60901631952193,0.7533875481128116
C(provider_type)[T.Public Health or Welfare Agency],-19.304751627748665,0.6013538078328928
C(provider_type)[T.Pulmonary Disease],-12.237781167683458,0.689626711245112
C(provider_type)[T.Radiation Oncology],97.8573671316239,0.0017800522272737253
C(provider_type)[T.Radiation Therapy Center],227.7640761182612,5.214313092387583e-07
C(provider_type)[T.Registered Dietitian or Nutrition Professional],-59.59284248299377,0.08087333753807945
C(provider_type)[T.Rheumatology],-20.794625857328047,0.5192754894519076
C(provider_type)[T.Sleep Medicine],5.439923410876397,0.8754859495614
C(provider_type)[T.Slide Preparation Facility],-71.7947672087789,0.43602865758965204
C(provider_type)[T.Speech Language Pathologist],9.029923678378267,0.7947548531865795
C(provider_type)[T.Sports Medicine],71.7154584059202,0.03104537903781971
C(provider_type)[T.Surgical Oncology],87.22362566806827,0.0156059769746577
C(provider_type)[T.Thoracic Surgery],252.1662191097714,1.1589461260781286e-13
C(provider_type)[T.Undefined Physician type],42.78094563588171,0.2465901861771489
C(provider_type)[T.Undersea and Hyperbaric Medicine],-18.11778417521679,0.6436335060222343
C(provider_type)[T.Unknown Supplier/Provider Specialty],-19.980082055245514,0.7132674390805599
C(provider_type)[T.Urology],31.27879584012815,0.3047924794719733
C(provider_type)[T.Vascular Surgery],106.08759992213018,0.0010274495616639104
C(place_of_service)[T.O],-30.28391687570434,1.1265647881520156e-12
C(ruca)[T.1.1],7.775955759004207,0.3999824548308146
C(ruca)[T.10.0],-25.679494484701337,0.008147938840990401
C(ruca)[T.10.1],-15.035846129510201,0.380486467279082
C(ruca)[T.10.2],-14.688600278541102,0.4426065775900875
C(ruca)[T.10.3],-12.743625514263478,0.5635394227850838
C(ruca)[T.2.0],-1.7531039481470252,0.8465053099348818
C(ruca)[T.2.1],-2.8634886818725036,0.8267433463763367
