hcpcs,observation_count,provider_count,mean_allowed_amt,std_allowed_amt,mean_payment_amt,std_payment_amt,outlier_count
36415,86521,86429,8.023507677895905,0.9352221397331163,8.023488967627003,0.93522641735569,1517
G0008,119058,119035,29.094420192281877,4.130422562995735,29.094420192281877,4.130422562995735,1059
99213,471734,456758,80.60900460080961,12.756514714710173,55.9654869970281,11.050948196832564,735
72125,18120,17421,50.72561947860745,17.558304871560097,38.31754376144305,13.561929923808185,710
71275,20502,19087,97.84052228380187,42.55378335652141,74.6227020582386,32.68796422283546,653
99214,501491,479108,113.46829772970649,17.74023825953446,79.92328811122405,15.502700575691195,635
71045,26301,25218,9.297429697889699,2.7747962145734677,7.039475346363702,2.0258043191341195,588
90662,70719,70710,70.28361034058346,4.597617053482478,70.28359990640402,4.597614913992897,587
27447,12128,12080,1206.9682648757528,1875.6390304582133,959.6059030833263,1495.2384417492774,565
99232,177472,177260,76.67472889623387,6.658707730336093,60.556081802880925,5.551544469173378,518
70498,13154,12429,87.65444197580378,30.96065099352942,67.82431609657755,24.362323887198688,508
70496,12766,12141,91.36109844757826,36.051757886205756,70.24033761500532,28.281744326879142,490
90694,51668,51661,73.5691107165342,5.548889957863414,73.56910892300867,5.548891843707259,480
G0439,106435,105796,115.53649324476285,25.891448319663667,115.53649324476285,25.891448319663667,452
81003,51509,51498,2.188462331520185,0.042560702397333804,2.188459301355639,0.04256281326737779,418
97140,65089,65083,20.9557414423937,1.5014940320199648,16.145143531598325,1.3612968821580924,396
99222,117627,117528,126.80766655432912,10.614974472070603,98.91737240085996,9.349206345452888,396
74174,10783,10208,122.92466799503478,70.26810334710258,94.85391379918298,55.12281384868833,385
27130,8074,8056,1226.921592924247,1931.2748735610553,975.5329934698108,1539.2906943800963,374
99223,139684,139488,170.08679819535527,13.516613818660089,132.98314522747157,11.818854776716686,364
99204,233123,226864,155.53212727877454,19.442020517843822,109.26364885192221,18.29505693096065,349
99233,128873,128735,116.41766771520945,9.61430884758564,92.1551268655677,8.002287656209687,342
71260,25449,20328,65.450926338023,27.7662242077702,49.74360000895273,21.15464747825708,341
70450,24448,21067,47.62366282464083,20.951016382741077,35.504770102431735,15.151182440776234,333
97110,79966,79941,23.42854111639997,2.136523077048468,18.024265873818166,1.8083746507677678,325
81002,31318,31318,3.3915250890029727,0.06600931504617419,3.3915225893739036,0.06600941662778252,313
99203,164233,161333,103.33227679368638,14.652930364939982,70.13463386867598,13.57537356988309,304
83036,44982,44970,9.437368707389547,0.29000205907986876,9.43736500158112,0.29000358113154917,292
90677,52425,52423,277.1446149388601,14.966822055860899,277.1446054379083,14.966830349587424,284
20610,41163,39714,61.85360489408073,11.736906062415287,45.88347358351051,9.448493137621277,281
82570,12587,12583,4.943451269715087,0.7182949237487001,4.943451083622905,0.7182948886612914,276
74177,30248,23600,125.5052961167091,80.4865605017947,95.55129616082908,62.379404700495634,253
99497,28794,27133,73.58656298670118,12.033579462779723,60.424034887943115,13.257758397295484,253
96372,58199,58192,13.115732809927168,1.5663408655074886,9.429869808992173,1.6453016632469932,250
45385,17014,16293,284.03642712260427,104.13480179709939,231.29146496875543,86.74929968438136,250
99212,100305,98925,51.06151917923254,9.398879246681297,35.96273965652976,7.962284243690496,248
74176,26557,22145,98.4840638282262,36.38453257840522,74.37622924747521,27.154974171322962,248
45380,17084,16411,169.2656436186568,113.43093877789781,136.05241298844896,92.91394220447357,247
88307,8849,8500,88.24678477538163,36.71128009910038,69.7444101245786,28.913179876884584,237
87804,18586,18585,16.10110966814371,0.3652327471070209,16.101066134779295,0.36526259441793346,223
72128,6483,6400,48.659003593762606,14.829519730351796,37.422328008743634,11.438004083674558,221
71250,28192,21833,65.87968839986114,30.890489526278838,49.11131558758811,22.427158441846164,218
71046,58400,47240,19.10476767936035,9.593606236702891,13.321079015584663,6.700346997527915,211
43239,17909,17125,125.44393169009042,82.72985598716627,97.82276395358123,65.2565932975291,208
99231,50951,50916,47.62135883715246,4.489124753740368,37.44443884684335,3.8236175334442772,208
73590,10839,10334,10.020866642625094,6.637757973446179,7.442511031389003,4.891037739790752,205
93308,12550,11545,31.042163797321273,20.136972696664152,23.92306292007958,14.963485355400449,199
97112,61895,61895,28.23689782001564,3.1918254291036856,21.825245327608368,2.623606098362002,189
85025,32842,32826,7.567823113733311,0.15780644336135463,7.567820090394444,0.15780667913852184,188
93010,54981,50576,7.924737358354151,0.572189533294688,6.017903510674297,0.6064854881279972,187
74018,25156,21893,11.892887965740547,7.064227664287835,8.858204285837672,4.9898044970614,186
99239,62451,62366,111.25727958691222,9.077372645934707,87.81329171678057,7.620019490921194,182
G0444,26393,26362,17.03060070266951,2.9941970931651234,17.03060070266951,2.9941970931651234,179
72131,13716,12578,55.40856495530075,24.895270377917008,42.223969288513196,19.10261366297059,178
72192,5303,5242,54.651237373702614,14.266073168746539,41.66138257658589,11.092199714032695,177
97530,62680,62669,33.48104134016166,3.673251657417976,25.925359168815806,3.0749455064653892,167
J3301,38673,38657,1.0611748748395393,0.036190076832993405,0.7845718609265042,0.07031832894371753,165
