variable,coefficient,p_value
C(provider_type)[T.Preventive Medicine],-16.48614123140977,0.6419282494160128
C(provider_type)[T.Psychiatry],-0.8795040306129771,0.97594246816033
"C(provider_type)[T.Psychologist, Clinical]",9.24256893124204,0.7535306329020911
C(provider_type)[T.Public Health or Welfare Agency],-19.34959340678086,0.5709851817290614
C(provider_type)[T.Pulmonary Disease],-15.149287432794074,0.6072263394730038
C(provider_type)[T.Radiation Oncology],90.61191672608035,0.00263443698722816
C(provider_type)[T.Radiation Therapy Center],227.3620887283208,1.1514405498029262e-06
C(provider_type)[T.Registered Dietitian or Nutrition Professional],-60.87048211787562,0.05604381057929475
C(provider_type)[T.Rheumatology],-16.650128906661248,0.5943525870672113
C(provider_type)[T.Sleep Medicine],4.767508777514829,0.8824020314807384
C(provider_type)[T.Slide Preparation Facility],-84.56309011173623,0.38451517721238915
C(provider_type)[T.Speech Language Pathologist],0.6718292049209835,0.9835838727592843
C(provider_type)[T.Sports Medicine],66.03999592502558,0.0404730625814192
C(provider_type)[T.Surgical Oncology],101.47963836160152,0.003499914088147437
C(provider_type)[T.Thoracic Surgery],240.78411689868688,3.509210015209845e-14
C(provider_type)[T.Undefined Physician type],20.704857329747494,0.5590671264502554
C(provider_type)[T.Undersea and Hyperbaric Medicine],-16.23135065062971,0.6725289392848977
C(provider_type)[T.Unknown Supplier/Provider Specialty],-36.697778881243266,0.4308507086330112
C(provider_type)[T.Urology],27.341518932558305,0.35590019146937124
C(provider_type)[T.Vascular Surgery],96.3966153679315,0.0020702860178936607
C(place_of_service)[T.O],-30.095574894679505,1.1019515996219125e-12
C(ruca)[T.1.1],11.976289858868256,0.2159336133085255
C(ruca)[T.10.0],-26.62766163031708,0.007496170054072079
C(ruca)[T.10.1],-10.242193173784162,0.5406410865733637
C(ruca)[T.10.2],-8.21836120555627,0.6599301286940105
C(ruca)[T.10.3],-6.4571182715432185,0.7373272928390293
C(ruca)[T.2.0],-1.3475911602672173,0.8878164374017468
C(ruca)[T.2.1],0.5720926300180627,0.9641074159276543
C(ruca)[T.3.0],-28.883197572579007,0.018202727686548355
C(ruca)[T.4.0],-18.274124637382243,0.04818712611225641
C(ruca)[T.4.1],15.356680551527969,0.13827060276785944
C(ruca)[T.5.0],-10.932187159190725,0.2838315220472897
